Date,^GSPC
2007-01-03,1416.5999755859375
2007-01-04,1418.3399658203125
2007-01-05,1409.7099609375
2007-01-08,1412.8399658203125
2007-01-09,1412.1099853515625
2007-01-10,1414.8499755859375
2007-01-11,1423.8199462890625
2007-01-12,1430.72998046875
2007-01-16,1431.9000244140625
2007-01-17,1430.6199951171875
2007-01-18,1426.3699951171875
2007-01-19,1430.5
2007-01-22,1422.949951171875
2007-01-23,1427.989990234375
2007-01-24,1440.1300048828125
2007-01-25,1423.9000244140625
2007-01-26,1422.1800537109375
2007-01-29,1420.6199951171875
2007-01-30,1428.8199462890625
2007-01-31,1438.239990234375
2007-02-01,1445.93994140625
2007-02-02,1448.3900146484375
2007-02-05,1446.989990234375
2007-02-06,1448.0
2007-02-07,1450.02001953125
2007-02-08,1448.31005859375
2007-02-09,1438.06005859375
2007-02-12,1433.3699951171875
2007-02-13,1444.260009765625
2007-02-14,1455.300048828125
2007-02-15,1456.81005859375
2007-02-16,1455.5400390625
2007-02-20,1459.6800537109375
2007-02-21,1457.6300048828125
2007-02-22,1456.3800048828125
2007-02-23,1451.18994140625
2007-02-26,1449.3699951171875
2007-02-27,1399.0400390625
2007-02-28,1406.8199462890625
2007-03-01,1403.1700439453125
2007-03-02,1387.1700439453125
2007-03-05,1374.1199951171875
2007-03-06,1395.4100341796875
2007-03-07,1391.969970703125
2007-03-08,1401.8900146484375
2007-03-09,1402.8399658203125
2007-03-12,1406.5999755859375
2007-03-13,1377.949951171875
2007-03-14,1387.1700439453125
2007-03-15,1392.280029296875
2007-03-16,1386.949951171875
2007-03-19,1402.06005859375
2007-03-20,1410.93994140625
2007-03-21,1435.0400390625
2007-03-22,1434.5400390625
2007-03-23,1436.1099853515625
2007-03-26,1437.5
2007-03-27,1428.6099853515625
2007-03-28,1417.22998046875
2007-03-29,1422.530029296875
2007-03-30,1420.8599853515625
2007-04-02,1424.550048828125
2007-04-03,1437.77001953125
2007-04-04,1439.3699951171875
2007-04-05,1443.760009765625
2007-04-09,1444.6099853515625
2007-04-10,1448.3900146484375
2007-04-11,1438.8699951171875
2007-04-12,1447.800048828125
2007-04-13,1452.8499755859375
2007-04-16,1468.3299560546875
2007-04-17,1471.47998046875
2007-04-18,1472.5
2007-04-19,1470.72998046875
2007-04-20,1484.3499755859375
2007-04-23,1480.9300537109375
2007-04-24,1480.4100341796875
2007-04-25,1495.4200439453125
2007-04-26,1494.25
2007-04-27,1494.0699462890625
2007-04-30,1482.3699951171875
2007-05-01,1486.300048828125
2007-05-02,1495.9200439453125
2007-05-03,1502.3900146484375
2007-05-04,1505.6199951171875
2007-05-07,1509.47998046875
2007-05-08,1507.719970703125
2007-05-09,1512.5799560546875
2007-05-10,1491.469970703125
2007-05-11,1505.8499755859375
2007-05-14,1503.1500244140625
2007-05-15,1501.18994140625
2007-05-16,1514.1400146484375
2007-05-17,1512.75
2007-05-18,1522.75
2007-05-21,1525.0999755859375
2007-05-22,1524.1199951171875
2007-05-23,1522.280029296875
2007-05-24,1507.510009765625
2007-05-25,1515.72998046875
2007-05-29,1518.1099853515625
2007-05-30,1530.22998046875
2007-05-31,1530.6199951171875
2007-06-01,1536.3399658203125
2007-06-04,1539.1800537109375
2007-06-05,1530.949951171875
2007-06-06,1517.3800048828125
2007-06-07,1490.719970703125
2007-06-08,1507.6700439453125
2007-06-11,1509.1199951171875
2007-06-12,1493.0
2007-06-13,1515.6700439453125
2007-06-14,1522.969970703125
2007-06-15,1532.9100341796875
2007-06-18,1531.050048828125
2007-06-19,1533.699951171875
2007-06-20,1512.8399658203125
2007-06-21,1522.18994140625
2007-06-22,1502.56005859375
2007-06-25,1497.739990234375
2007-06-26,1492.8900146484375
2007-06-27,1506.3399658203125
2007-06-28,1505.7099609375
2007-06-29,1503.3499755859375
2007-07-02,1519.4300537109375
2007-07-03,1524.8699951171875
2007-07-05,1525.4000244140625
2007-07-06,1530.43994140625
2007-07-09,1531.8499755859375
2007-07-10,1510.1199951171875
2007-07-11,1518.760009765625
2007-07-12,1547.699951171875
2007-07-13,1552.5
2007-07-16,1549.52001953125
2007-07-17,1549.3699951171875
2007-07-18,1546.1700439453125
2007-07-19,1553.0799560546875
2007-07-20,1534.0999755859375
2007-07-23,1541.5699462890625
2007-07-24,1511.0400390625
2007-07-25,1518.0899658203125
2007-07-26,1482.6600341796875
2007-07-27,1458.949951171875
2007-07-30,1473.9100341796875
2007-07-31,1455.27001953125
2007-08-01,1465.81005859375
2007-08-02,1472.199951171875
2007-08-03,1433.06005859375
2007-08-06,1467.6700439453125
2007-08-07,1476.7099609375
2007-08-08,1497.489990234375
2007-08-09,1453.0899658203125
2007-08-10,1453.6400146484375
2007-08-13,1452.9200439453125
2007-08-14,1426.5400390625
2007-08-15,1406.699951171875
2007-08-16,1411.27001953125
2007-08-17,1445.93994140625
2007-08-20,1445.550048828125
2007-08-21,1447.1199951171875
2007-08-22,1464.0699462890625
2007-08-23,1462.5
2007-08-24,1479.3699951171875
2007-08-27,1466.7900390625
2007-08-28,1432.3599853515625
2007-08-29,1463.760009765625
2007-08-30,1457.6400146484375
2007-08-31,1473.989990234375
2007-09-04,1489.4200439453125
2007-09-05,1472.2900390625
2007-09-06,1478.550048828125
2007-09-07,1453.550048828125
2007-09-10,1451.699951171875
2007-09-11,1471.489990234375
2007-09-12,1471.56005859375
2007-09-13,1483.949951171875
2007-09-14,1484.25
2007-09-17,1476.6500244140625
2007-09-18,1519.780029296875
2007-09-19,1529.030029296875
2007-09-20,1518.75
2007-09-21,1525.75
2007-09-24,1517.72998046875
2007-09-25,1517.2099609375
2007-09-26,1525.4200439453125
2007-09-27,1531.3800048828125
2007-09-28,1526.75
2007-10-01,1547.0400390625
2007-10-02,1546.6300048828125
2007-10-03,1539.5899658203125
2007-10-04,1542.8399658203125
2007-10-05,1557.5899658203125
2007-10-08,1552.5799560546875
2007-10-09,1565.1500244140625
2007-10-10,1562.469970703125
2007-10-11,1554.4100341796875
2007-10-12,1561.800048828125
2007-10-15,1548.7099609375
2007-10-16,1538.530029296875
2007-10-17,1541.239990234375
2007-10-18,1540.0799560546875
